year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e,emission_rate_per_unit,production_toe_MTOE,emission_rate_per_toe,Country,Kyoto_start,Kyoto_end,Paris_start,Cluster
1962,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,0.9125,Million bbl/yr,0.363884831,0.398777897,0.1241,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1962,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1.84325,Bcf/yr,0.134355212,0.07289039,0.04386935,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1963,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1.825,Million bbl/yr,0.727769662,0.398777897,0.2482,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1963,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,4.4238,Bcf/yr,0.322452509,0.07289039,0.10528644,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1964,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,7.3,Million bbl/yr,2.911078647,0.398777897,0.9928,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1964,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,17.32655,Bcf/yr,1.262938993,0.07289039,0.41237189,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1965,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,10.95,Million bbl/yr,4.366617971,0.398777897,1.4892,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1965,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,25.0682,Bcf/yr,1.827230884,0.07289039,0.59662316,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1966,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,13.505,Million bbl/yr,5.385495497,0.398777897,1.83668,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1966,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.176554435,0.07289039,0.71068347,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1967,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,14.6,Million bbl/yr,5.822157294,0.398777897,1.9856,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1967,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.176554435,0.07289039,0.71068347,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1968,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,18.25,Million bbl/yr,7.277696618,0.398777897,2.482,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1968,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,39.0769,Bcf/yr,2.848330495,0.07289039,0.93003022,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1969,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,22.265,Million bbl/yr,8.878789874,0.398777897,3.02804,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1969,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,47.1872,Bcf/yr,3.439493428,0.07289039,1.12305536,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1970,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,25.7325,Million bbl/yr,10.26155223,0.398777897,3.49962,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
1970,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,53.8229,Bcf/yr,3.923172191,0.07289039,1.28098502,3.062621444,United Arab Emirates,2008.0,2020.0,2016.0,5
1971,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,34.31,Million bbl/yr,13.68206964,0.398777897,4.66616,2.932190418,United Arab Emirates,2008.0,2020.0,2016.0,0
