Company/Entity,Type,Country,Kyoto_start,Kyoto_end,Paris_start
Abu Dhabi National Oil Company,State-owned Entity,United Arab Emirates,2008,2020,2016
Adani Enterprises,Investor-owned Company,India,2008,2020,2016
Adaro Energy,Investor-owned Company,Indonesia,2008,2020,2016
Alliance Resource Partners,Investor-owned Company,United States,,,2021
Alpha Metallurgical Resources,Investor-owned Company,United States,,,2021
American Consolidated Natural Resources,Investor-owned Company,United States,,,2021
Anglo American,Investor-owned Company,United Kingdom,2008,2020,2016
Antero,Investor-owned Company,United States,,,2021
APA Corporation,Investor-owned Company,United States,,,2021
Arch Resources,Investor-owned Company,United States,,,2021
Banpu,Investor-owned Company,Thailand,2008,2020,2016
Bapco Energies,State-owned Entity,Bahrain,2008,2020,2016
BASF,Investor-owned Company,Germany,2008,2020,2016
BHP,Investor-owned Company,Australia,2008,2020,2016
BP,Investor-owned Company,United Kingdom,2008,2020,2016
British Coal Corporation,State-owned Entity,United Kingdom,2008,2020,2016
Bumi Resources,Investor-owned Company,Indonesia,2008,2020,2016
Canadian Natural Resources,Investor-owned Company,Canada,2008,2011,2016
Cemex,Investor-owned Company,Mexico,2008,2020,2016
Cenovus Energy,Investor-owned Company,Canada,2008,2011,2016
Chesapeake Energy,Investor-owned Company,United States,,,2021
Chevron,Investor-owned Company,United States,,,2021
China (Cement),Nation State,China,2008,2020,2016
China (Coal),Nation State,China,2008,2020,2016
Cloud Peak,Investor-owned Company,United States,,,2021
CNOOC,State-owned Entity,China,2008,2020,2016
CNPC,State-owned Entity,China,2008,2020,2016
CNX Resources,Investor-owned Company,United States,,,2021
Coal India,State-owned Entity,India,2008,2020,2016
ConocoPhillips,Investor-owned Company,United States,,,2021
CONSOL Energy,Investor-owned Company,United States,,,2021
Continental Resources,Investor-owned Company,United States,,,2021
Coterra Energy,Investor-owned Company,United States,,,2021
CRH,Investor-owned Company,Ireland,2008,2020,2016
Cyprus AMAX Minerals,Investor-owned Company,United States,,,2021
Czech Republic,Nation State,Czech Republic,2008,2020,2017
Czechoslovakia,Nation State,Czechoslovakia,2008,2020,2016
Devon Energy,Investor-owned Company,United States,,,2021
Ecopetrol,State-owned Entity,Colombia,2008,2020,2018
Egyptian General Petroleum,State-owned Entity,Egypt,2008,2020,2017
Eni,Investor-owned Company,Italy,2008,2020,2016
EOG Resources,Investor-owned Company,United States,,,2021
EQT Corporation,Investor-owned Company,United States,,,2021
Equinor,State-owned Entity,Norway,2008,2020,2016
Exxaro Resources Ltd,Investor-owned Company,South Africa,2008,2020,2016
ExxonMobil,Investor-owned Company,United States,,,2021
Former Soviet Union,Nation State,Former Soviet Union,,,
Gazprom,State-owned Entity,Russia,2008,2012,2019
Glencore,Investor-owned Company,Switzerland,2008,2020,2017
